bank_id,bank_name,quarter_end_date,total_assets,total_loans,allowance_for_credit_losses,noncurrent_loans,net_charge_offs,deposits,tier1_capital,risk_weighted_assets,total_equity_capital,net_income
6280,FIRST NB OF ORWELL,2025-12-31,87627,72572,1.3310492039537192,1.2929803809601501,0.2143317412863776,76909,0,0,10154,1181
6354,FIRST HOPE BK A NATL BK ASSN,2025-12-31,666840,430342,1.3015547558925455,0,-0.00500126460547881,596810,14.250913253980736,14.250913253980736,60652,4738
6384,PNC BANK NATIONAL ASSN,2025-12-31,568338163,329027570,1.3225337367082095,0.8867613743811911,0.22881862710571935,450665135,11.911160490694073,11.911160490694073,59448805,7234397
6423,AMBOY BANK,2025-12-31,2811720,1903100,1.6582859262987475,0.5156080200869061,-0.03595880708499541,2410976,14.141550445325963,14.141550445325963,334969,72087
6442,FIRST NB OF ABSECON,2025-12-31,197088,124993,0.9030222306789712,0.07056099958773349,0,177546,0,0,18160,1598
6464,FIRST NATIONAL BANK OF ELMER,2025-12-31,409411,323107,1.2717367058902616,0.2083912622338199,0.01026420052142138,367964,13.587479413688142,13.587479413688142,38989,3438
6528,FIRST NB OF BELLEVUE,2025-12-31,309256,171405,1.485717569975286,1.777113627219955,0.00280984118777606,278314,0,0,29061,-5781
6530,FIRST NB OF BLANCHESTER,2025-12-31,78712,49437,0.6151619323321874,0.04221699535613051,0.02946276747983905,70233,21.233380629565403,21.233380629565403,8080,888
6531,CITIZENS NB OF BLUFFTON,2025-12-31,1076098,855858,1.517526114843173,0.6158477226752094,-0.00162984307870838,794304,0,0,108315,25860
6540,FARMERS NB OF CANFIELD,2025-12-31,5230209,3269418,1.1133832532471284,0.792897285699206,0.1923586562790768,4373220,13.202855377038532,13.202855377038532,527939,55220
6544,PEOPLES BANK,2025-12-31,9637101,6683899,1.119537840766616,0.6289448670959343,0.44626362876777137,7750473,11.977290295579964,11.977290295579964,1184257,120457
6548,U S BANK NATIONAL ASSN,2025-12-31,676125227,386268399,1.9307378109426652,1.4902905709048822,0.5613591094465467,533475213,13.01934411681589,13.113515778831143,68587212,7887488
6560,HUNTINGTON NATIONAL BANK,2025-12-31,224047234,148398763,1.6809269710778187,0.8071347645392613,0.22954701763284852,180595114,11.718730969965556,12.442500854657895,24712277,2524076
6574,FIRST NB OF DENNISON,2025-12-31,272994,152171,1.258832919129718,0.2173757875816781,0.07709624695469824,253046,0,0,19247,1864
6584,COMMUNITY FIRST BANK NA,2025-12-31,55476,31537,0.5298848762024917,0,0,50348,19.49023820990627,19.49023820990627,4988,155
6592,FIRST NB OF GERMANTOWN,2025-12-31,93682,55801,0.8035127015448065,0.29509537269123426,0.00889698712428023,82891,17.56481785362652,17.56481785362652,7528,462
6600,FIRST FINANCIAL BANK,2025-12-31,20985843,13254535,1.3874465795830109,0.7601356503992033,0.2518809676704692,16764129,11.897985802628376,11.900058365642325,2736835,290161
6605,MERCHANTS NATIONAL BANK,2025-12-31,1320880,961416,1.162813410134601,0.4815328452895829,-0.01801932765231849,1131307,11.781104245817362,11.781104245817362,120160,14378
6616,KINGSTON NATIONAL BANK,2025-12-31,578822,415786,0.9700875770199044,0.28795381306581497,0.01643822441660251,529835,12.569331080371548,12.569331080371548,43651,4266
6623,LCNB NATIONAL BANK,2025-12-31,2236740,1693545,0.8026948617337014,0.13612542751525994,0.01600387457307912,1842258,11.021352590382822,11.021352590382822,278357,24607
6636,VINTON COUNTY NATIONAL BANK,2025-12-31,1540805,1081960,1.0081620964355216,0.23303283960625043,0.1263800118965971,1354745,0,0,159362,16255
6637,FIRST NB OF MCCONNELSVILLE,2025-12-31,202829,109116,1.10660975012915,0.7051125189193108,0.00551141321820603,179765,19.406875934230193,19.406875934230193,21682,2033
